id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,cidade_id_ibge
id4836,Online,FOLHA CAPITAL,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4837,Online,BICO 24 HORAS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4838,Online,JORNAL DO TOCANTINS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4839,Online,CLEBER TOLEDO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4840,Online,JORNAL PÁGINA ABERTA,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4841,Online,REDE TOCANTINS DE NOTÍCIAS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4842,Online,CONEXAO TOCANTINS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4843,Online,PORTAL STYLO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4844,Online,PORTAL VITRINE,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4851,Jornal,O ESTADO DO TOCANTINS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4852,Jornal,STYLO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4853,Jornal,O ESTADO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4854,Jornal,JORNAL DO TOCANTINS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4855,Jornal,O GIRASSOL,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4856,Jornal,O COLETIVO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4857,Jornal,O SERVIDOR,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4858,Jornal,PRIMEIRA PÁGINA,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4859,Jornal,DAQUI PALMAS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4860,Jornal,FOLHA CAPITAL,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4861,Jornal,TRIBUNA DO PLANALTO,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id5081,Online,PORTAL JACIARABARROS,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Atlas da Notícia,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id5114,Online,REVISTA MULHERES,PALMAS,n/d,TO,Tocantins,Norte,Brasil,Atlas da Notícia,"Nome_Município
PALMAS    1721000
PALMAS    4117602
Name: Código Município Completo, dtype: int64"
id4957,Jornal,GAZETA DE PALMEIRA,PALMEIRA,n/d,PR,Paraná,Sul,Brasil,Atlas da Notícia,"Nome_Município
PALMEIRA    4117701
PALMEIRA    4212056
Name: Código Município Completo, dtype: int64"
id2601,Jornal,A MADRUGADA,PALMEIRA DAS MISSÕES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4313706
id2602,Jornal,TRIBUNA DA PRODUÇAO,PALMEIRA DAS MISSÕES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4313706
id5283,Jornal,TRIBUNA DA PRODUÇÃO,PALMEIRA DAS MISSÕES,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4313706
id31,Jornal,TRIBUNA DO SERTÃO,PALMEIRA DOS ÍNDIOS,n/d,AL,Alagoas,Nordeste,Brasil,Secom/PR,2706307
id661,Jornal,O COMUNITARIO,PALMEIRAS DE GOIÁS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5215702
id4367,Jornal,JORNAL DA COMARCA,PALMITAL,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,"Nome_Município
PALMITAL    3535309
PALMITAL    4117800
Name: Código Município Completo, dtype: int64"
id2851,Online,EXPRESSO DO OESTE,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212106
id3106,Jornal,OESTE POPULAR,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212106
id3107,Jornal,EXPRESSO D'OESTE,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212106
id3108,Jornal,JORNAL DA MANHA,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212106
id3109,Jornal,CORREIO DO OESTE,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212106
id5463,Jornal,EXPRESSO DO OESTE,PALMITOS,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,4212106
id1614,Online,PORTAL PALOTINA,PALOTINA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4117909
id1761,Jornal,COLUNA D'OESTE,PALOTINA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4117909
id1762,Jornal,FOLHA DA TERRA,PALOTINA,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4117909
id5521,Jornal,FOLHA DE PALOTINA,PALOTINA,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr,4117909
id2603,Jornal,FOLHA DAS MAQUINAS,PANAMBI,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4313904
id2604,Jornal,HOJE SB,PANAMBI,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4313904
id5284,Jornal,A NOTÍCIA DO VALE,PANAMBI,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4313904
id5285,Jornal,FOLHA DAS MÁQUINAS,PANAMBI,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4313904
id474,Jornal,O PEDREGULHO,PANCAS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,3204005
id5286,Jornal,RAZÃO,PANTANO GRANDE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4313953
id2852,Online,CORREIO DO CONTESTADO,PAPANDUVA,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212205
id3110,Jornal,A SEMANA,PAPANDUVA,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212205
id3111,Jornal,CORREIO DO CONTESTADO,PAPANDUVA,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212205
id5465,Jornal,A SEMANA - PAPANDUVA,PAPANDUVA,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,4212205
id1049,Jornal,GAZETA PARAMINENSE,PARÁ DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147105
id1050,Jornal,DIARIO,PARÁ DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147105
id791,Online,PORTAL GRNEWS,PARÁ DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147105
id1051,Jornal,CORREIO MINEIRO,PARACATU,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147006
id1052,Jornal,O LABARO,PARACATU,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147006
id1053,Jornal,O MOVIMENTO,PARACATU,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147006
id220,Jornal,O REGIONAL,PARACURU,RM Fortaleza,CE,Ceará,Nordeste,Brasil,Secom/PR,2310209
id1054,Jornal,A VOZ DA CIDADE,PARAGUAÇU,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147204
id3317,Online,PARAGUACITY,PARAGUAÇU PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3535507
id4368,Jornal,A SEMANA,PARAGUAÇU PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3535507
id4369,Jornal,FOLHA DA ESTANCIA,PARAGUAÇU PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3535507
id5593,Jornal,FOLHA DA ESTÂNCIA,PARAGUAÇU PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,3535507
id5287,Jornal,NOSSAS CIDADES,PARAÍ,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4314001
id2114,Jornal,JPS- JORNAL DE PARAIBA DO SUL,PARAÍBA DO SUL,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303708
id2115,Jornal,FOLHA REGIONAL,PARAÍBA DO SUL,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303708
id2116,Jornal,A FOLHA,PARAÍBA DO SUL,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303708
id2117,Jornal,FOLHA DEMOCRATICA,PARAÍBA DO SUL,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303708
id4862,Jornal,CORREIO DO POVO,PARAÍSO DO TOCANTINS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,1716109
id1763,Jornal,GAZETA DE PARNANGUARA,PARANAGUÁ,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118204
id1764,Jornal,FOLHA DO LITORAL NEWS (EX FOLHA DO LITORAL),PARANAGUÁ,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118204
id5684,Jornal,FOLHA DO LITORAL NEWS,PARANAGUÁ,n/d,PR,Paraná,Sul,Brasil,Central de Diários,4118204
id1262,Jornal,FOLHA DE PARANAIBA,PARANAÍBA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,5006309
id1263,Jornal,TRIBUNA LIVRE,PARANAÍBA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,5006309
id4370,Jornal,O PIONEIRO,PARANAPANEMA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3535804
id4371,Jornal,TRIBUNA DA ESTANCIA,PARANAPANEMA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3535804
id1615,Online,DIARIO DO NOROESTE,PARANAVAÍ,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118402
id4927,Jornal,DIÁRIO DO NOROESTE,PARANAVAÍ,n/d,PR,Paraná,Sul,Brasil,Atlas da Notícia,4118402
id2118,Jornal,EXPRESSÃO DO POVO,PARATY,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303807
id2119,Jornal,JORNAL DE PARATY,PARATY,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303807
id1417,Jornal,CORREIO DO PARA,PARAUAPEBAS,n/d,PA,Pará,Norte,Brasil,Secom/PR,1505536
id1418,Jornal,O REGIONAL,PARAUAPEBAS,n/d,PA,Pará,Norte,Brasil,Secom/PR,1505536
id1419,Jornal,HOJE,PARAUAPEBAS,n/d,PA,Pará,Norte,Brasil,Secom/PR,1505536
id1420,Jornal,CARAJAS O JORNAL,PARAUAPEBAS,n/d,PA,Pará,Norte,Brasil,Secom/PR,1505536
id4885,Online,ATROXG.COM,PARAUAPEBAS,n/d,PA,Pará,Norte,Brasil,Atlas da Notícia,1505536
id2276,Jornal,METROPOLITANO,PARNAMIRIM,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,"Nome_Município
PARNAMIRIM    2403251
PARNAMIRIM    2610400
Name: Código Município Completo, dtype: int64"
id2277,Jornal,POTIGUAR NOTICIAS,PARNAMIRIM,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,"Nome_Município
PARNAMIRIM    2403251
PARNAMIRIM    2610400
Name: Código Município Completo, dtype: int64"
id2606,Jornal,INTEGRAÇAO,PAROBÉ,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314050
id710,Jornal,TRIBUNA POPULAR,PASTOS BONS,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR,2108009
id5466,Jornal,JORNAL NORTESUL,PASSO DE TORRES,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,4212254
id2362,Online,JORNAL DA CIDADE ONLINE,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2363,Online,O NACIONAL,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2607,Jornal,ANOTA (PASSO FUNDO),PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2608,Jornal,TROCA TROCA UIRAPURU,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2609,Jornal,O PLANALTO,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2610,Jornal,O NACIONAL,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id2611,Jornal,DIARIO DA MANHA,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314100
id5288,Jornal,TROPEIRO DOS PAMPAS,PASSO FUNDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4314100
id1055,Jornal,FOLHA DA MANHA,PASSOS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147907
id4947,Online,FOLHA DA MANHÃ,PASSOS,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia,3147907
id792,Online,CLIC FOLHA,PASSOS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3147907
id1616,Online,DIÁRIO DO SUDOESTE,PATO BRANCO,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118501
id1766,Jornal,A NOTICIA DO SUDOESTE,PATO BRANCO,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118501
id1767,Jornal,DIARIO DO SUDOESTE,PATO BRANCO,n/d,PR,Paraná,Sul,Brasil,Secom/PR,4118501
id5514,Jornal,A NOTICIA NO SUDOESTE,PATO BRANCO,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr,4118501
id5685,Jornal,DIÁRIO DO SUDOESTE,PATO BRANCO,n/d,PR,Paraná,Sul,Brasil,Central de Diários,4118501
id1056,Jornal,FOLHA PATENSE,PATOS DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3148004
id793,Online,PATOS HOJE,PATOS DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3148004
id794,Online,PATOS NOTICIAS,PATOS DE MINAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3148004
id1057,Jornal,JORNAL DE PATROCINIO,PATROCÍNIO,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3148103
id795,Online,PATROCÍNIO ONLINE,PATROCÍNIO,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3148103
id2120,Jornal,O GRITO SERRANO,PATY DO ALFERES,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303856
id2121,Jornal,RENASCER GOSPEL,PATY DO ALFERES,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,3303856
id4372,Jornal,O CROMO,PAULÍNIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3536505
id4373,Jornal,JORNAL TRIBUNA PAULINIA,PAULÍNIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3536505
id156,Jornal,FOLHA SERTANEJA,PAULO AFONSO,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,2924009
id83,Online,OZILDO ALVES,PAULO AFONSO,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,2924009
id4374,Jornal,A PRAÇA,PEDERNEIRAS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3536703
id4375,Jornal,A NOTICIA,PEDERNEIRAS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3536703
id4376,Jornal,A CIDADE,PEDREIRA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537107
id4377,Jornal,IMPRENSA REGIONAL,PEDREIRA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537107
id4378,Jornal,JORNAL DA COMARCA,PEDREIRA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537107
id711,Jornal,PANORAMA REGIONAL,PEDREIRAS,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR,2108207
id1058,Jornal,CLARIM,PEDRO LEOPOLDO,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3149309
id1059,Jornal,O OBSERVADOR,PEDRO LEOPOLDO,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3149309
id1060,Jornal,FOLHA DE PEDRO LEOPOLDO,PEDRO LEOPOLDO,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3149309
id1369,Jornal,VALE DO PEIXOTO,PEIXOTO DE AZEVEDO,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,5106422
id2364,Online,DIARIO POPULAR,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id2365,Online,AMIGOS DE PELOTAS,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id2612,Jornal,DIARIO DA MANHA,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id2613,Jornal,TRADIÇAO REGIONAL,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id2614,Jornal,DIARIO POPULAR,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id2615,Jornal,JORNAL DA VARZEA,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4314407
id5289,Jornal,DIÁRIO DA MANHÃ,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4314407
id5734,Jornal,DIÁRIO POPULAR,PELOTAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Central de Diários,4314407
id4379,Jornal,DIARIO DE PENAPOLIS,PENÁPOLIS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537305
id4892,Online,BLOG DO FARIA,PENÁPOLIS,n/d,SP,São Paulo,Sudeste,Brasil,Atlas da Notícia,3537305
id22,Online,AQUI ACONTECE,PENEDO,n/d,AL,Alagoas,Nordeste,Brasil,Secom/PR,2706703
id3112,Jornal,VISAO,PENHA,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4212502
id1061,Jornal,VOZ,PERDÕES,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3149903
id4380,Jornal,DIARIO REGIONAL,PEREIRA BARRETO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537404
id4381,Jornal,A SEMANA,PEREIRA BARRETO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537404
id4382,Jornal,JORNAL ANALISE,PERUÍBE,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537602
id4383,Jornal,O MIRANTE,PERUÍBE,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537602
id4384,Jornal,JORNAL ACONTECE,PERUÍBE,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3537602
id4896,Online,BOCA DE RUA,PERUÍBE,n/d,SP,São Paulo,Sudeste,Brasil,Atlas da Notícia,3537602
id1463,Online,BLOG DO CARLOS BRITTO,PETROLINA,n/d,PE,Pernambuco,Nordeste,Brasil,Secom/PR,2611101
id1481,Jornal,GAZZETA DO SAO FRANCISCO,PETROLINA,n/d,PE,Pernambuco,Nordeste,Brasil,Secom/PR,2611101
